Size,MergeSort,Hybrid5,Hybrid30
81300,12258,8961,6967
81400,12086,10684,6889
81500,14592,9195,7054
81600,12260,9018,6991
81700,12244,8907,6930
81800,12515,9263,7185
81900,12287,8947,7046
82000,12370,8929,6937
82100,12233,8877,12827
82200,12349,9093,7024
82300,12233,9055,6912
82400,12492,9113,7212
82500,12413,9227,7313
82600,12428,9152,7249
82700,12381,8968,7443
82800,12454,9205,7108
82900,12432,9200,7128
83000,12564,9345,7001
83100,12519,9024,7018
83200,12444,9144,7188
83300,12625,9013,7068
83400,12520,9315,7160
83500,12418,9079,7103
83600,12683,9157,7089
83700,12595,9183,7151
83800,12718,9200,7294
83900,12637,9181,7254
84000,12669,9237,7499
84100,12513,9254,7942
84200,12700,9569,7183
84300,13038,9323,7320
84400,12770,9120,7268
84500,12565,9239,7156
84600,12890,9227,7373
84700,12872,9305,7331
84800,12745,9339,7378
84900,12782,9713,7294
85000,12652,9418,7387
85100,12837,9545,7455
85200,12727,9411,7605
85300,15946,10420,8221
85400,12893,9349,7487
85500,13188,9401,7526
85600,12995,9639,7690
85700,12962,9337,7525
85800,12890,9547,7506
85900,13079,9462,7689
86000,13140,9576,7463
86100,13089,10294,7604
86200,12822,9315,7430
86300,13377,9397,7490
86400,12893,9406,7349
86500,12878,9387,7442
86600,13170,9262,7405
86700,13181,9354,7465
86800,13249,9748,7688
86900,13194,9368,7460
87000,13329,9315,7473
87100,12928,9489,7541
87200,12942,9449,7639
87300,13256,9597,7545
87400,13010,9400,7598
87500,13023,9489,7576
87600,13103,9696,7750
87700,13441,9640,7946
87800,13515,9457,7673
87900,13280,12199,7709
88000,13701,9996,7802
88100,13616,9942,7865
88200,13651,9788,7834
88300,13798,9994,7707
88400,13655,9901,8009
88500,13371,9698,7717
88600,13327,10006,7856
88700,13523,9553,7823
88800,13237,9627,7766
88900,13275,9910,7673
89000,13468,9586,8611
89100,13837,9930,7960
89200,13469,9545,7821
89300,13854,9850,8004
89400,13447,10530,8754
89500,13425,9687,7800
89600,13344,9614,7871
89700,13866,10001,8043
89800,13387,10282,12609
89900,13582,9649,7775
90000,13400,9756,7830
90100,13748,10029,8063
90200,13438,9616,7929
90300,13735,9719,8036
90400,13611,9832,7852
90500,13617,9710,8032
90600,13764,9837,7887
90700,13941,9857,9012
90800,13959,10154,8156
90900,13772,9920,8228
91000,14035,10104,8000
91100,13742,9756,8013
91200,13784,9942,7972
91300,15572,10794,8117
91400,14007,9759,8072
91500,14136,9845,7929
91600,13902,9846,7922
91700,13879,11007,8714
91800,14115,9988,7988
91900,13969,10053,8204
92000,14051,10270,8094
92100,13714,9996,8115
92200,13748,9994,8471
92300,13941,10089,8122
92400,14104,9946,8270
92500,13838,9963,8219
92600,14091,9957,8108
92700,14139,10074,8093
92800,14060,9909,8372
92900,14054,10133,8189
93000,14008,10019,8091
93100,13898,10076,8159
93200,14091,9959,8509
93300,14238,10061,8065
93400,14264,9849,8249
93500,14020,9876,8236
93600,14122,10289,8105
93700,14244,11356,8092
93800,14937,10109,8227
93900,13998,9997,8591
94000,14496,10078,8194
94100,14696,10227,8544
94200,14747,10346,8308
94300,14410,10289,8307
94400,14412,10462,9874
94500,14260,10226,8401
94600,14289,10170,8354
94700,14352,12113,8308
94800,14363,10428,8628
94900,14250,10156,8478
